freq,epsilon_r       ,epsilon_i       
87971428571,1.98,-0.00143
88000000000,1.98,-0.00143
88028571429,1.98,-0.00143
88057142857,1.98,-0.00143
88085714286,1.98,-0.00143
88114285714,1.98,-0.00143
88142857143,1.98,-0.00143
88171428571,1.98,-0.00144
88200000000,1.98,-0.00144
88228571429,1.98,-0.00144
88257142857,1.98,-0.00144
88285714286,1.98,-0.00144
88314285714,1.98,-0.00145
88342857143,1.98,-0.00145
88371428571,1.98,-0.00145
88400000000,1.98,-0.00145
88428571429,1.98,-0.00146
88457142857,1.98,-0.00146
88485714286,1.98,-0.00146
88514285714,1.98,-0.00147
88542857143,1.98,-0.00147
88571428571,1.98,-0.00147
88600000000,1.98,-0.00148
88628571429,1.98,-0.00148
88657142857,1.98,-0.00149
88685714286,1.98,-0.00149
88714285714,1.98,-0.0015
88742857143,1.98,-0.0015
88771428571,1.98,-0.00151
88800000000,1.98,-0.00151
88828571429,1.98,-0.00152
88857142857,1.98,-0.00153
88885714286,1.98,-0.00153
88914285714,1.98,-0.00154
88942857143,1.981,-0.00155
88971428571,1.981,-0.00155
89000000000,1.981,-0.00156
89028571429,1.981,-0.00157
89057142857,1.981,-0.00158
89085714286,1.981,-0.00158
89114285714,1.981,-0.00159
89142857143,1.981,-0.0016
89171428571,1.981,-0.00161
89200000000,1.981,-0.00162
89228571429,1.981,-0.00163
89257142857,1.981,-0.00163
89285714286,1.981,-0.00164
89314285714,1.981,-0.00165
89342857143,1.981,-0.00166
89371428571,1.981,-0.00167
89400000000,1.981,-0.00168
89428571429,1.981,-0.00169
89457142857,1.981,-0.0017
89485714286,1.981,-0.00171
89514285714,1.981,-0.00173
89542857143,1.981,-0.00174
89571428571,1.981,-0.00175
89600000000,1.981,-0.00176
89628571429,1.981,-0.00177
89657142857,1.981,-0.00178
89685714286,1.981,-0.00179
89714285714,1.981,-0.00181
89742857143,1.981,-0.00182
89771428571,1.981,-0.00183
89800000000,1.981,-0.00184
89828571429,1.981,-0.00185
